Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
"Was walking along crowded street, holding mums hand, when an elderly man groped butt, I turned to look at h7m and he looked away, and did it again after a while.I was 12 yrs old then.",0,0,1
This incident took place in the evening.I was in the metro when two guys started staring.,0,1,0
I WAS WAITING FOR THE BUS. A MAN CAME ON A BIKE AND WAS OFFERING LIFTVTO YOUNG GIRLS.,1,0,0
Incident happened inside the train,0,0,0
I witnessed an incident when a chain was brutally snatched from an elderly lady . The incident took place during evening .,0,0,0
ONE DAY I WAS WALKING AT JORPATI I SAW A BOY TRY T0 TAKE PICTURE OF A GIRL N GIRL DIDNT KNOW N ITELL HER ABT IT SHE REPOT TO POLISH NEARBY JORPATI,0,0,0
i have heard about indecent people making indecent comments,0,0,0
"When I entered the subway it was dark, so I decided to go back from their, but suddenly a man came to me amp hold my hand amp forced me to go from that subway, and also asked me my number. (Lajpat Nagar, subway)",0,0,0
Sexual Invites,0,0,0
poor street lighting,0,0,1
Catcalls and passing comments were two of the ghastly things the Delhi police at the International Airport put me and my friend through. It is appalling that the protectors and law enforcers at the airport can make someone so uncomfortable.,1,1,0
"This happened in a bus, public transport. It was in broad daylight. I was on my way to college and the bus wasn't that crowded. There was enough space for two people to stand back to back with big bags on 'em. This particular male was standing next to my seat. There was enough and more space behind him. But noooooo... He started rubbing his crotch against my shoulder, subtly at first and then very obviously. I made my discomfort very apparent. But he didn't seem to get it. I shifted inside my seat and so did he. I think the lady beside me knew what was going on but didn't say a word, neither did the people behind me nor the bus conductor. Well neither did i in the first place, i was frozen and gripped in shock and fear. I think now i am better prepared to make shit go down if someone tries the same feat with me. But i'll never know.",0,0,1
"One night we were returning to our house from party.I saw one boy was trying to touch one young girl.BUT the girl was so afraid and was crying.When we came near to them,the boy run suddenly.",0,0,0
Some people used to stare in a very inappropriate way which is not tolerable.It happened in the morning and Night.,1,0,1
local college guys were commenting.,1,0,0
making weird noises and laughing at girls,1,0,0
"I had gone to get ice cream and I noticed 5 men who looked drunk there, I turned around and started walking away, but they made sexual invites from afar",1,0,0
There were comments and staring when I was going back to my p.g. During the afternoon hours .,1,1,0
my friend was crossing the road,1,1,0
"This incident took place on 4th September 2013 in the afternoon.In metro at rohini east station,Two boys were taking pictures of a group of girls sitting on the opposite side.",0,0,0
"While i was walking on the road,two men on bike passed lewd comments.It happened near vishvavidalaya metro station in the afternoon around 3pm.",1,0,0
when i was returning home from college a boy commented on me and whistled,1,0,0
sexual harrasement during office hours,1,1,0
"I was returning home from my workplace in the evening and a drunk guy was intentionally trying to fall upon me.Later,when he saw police nearby he got scared and went away.It happened near rohini west metro station.",0,0,1
harassment,1,0,0
